transcription,medical_specialty,access_level,source,doc_type
"Weekly Menu for Hospital Cafeteria - March 12-18

**Monday, March 13**

* Breakfast: Whole grain waffles with fresh berries and yogurt
* Lunch: Grilled chicken breast with roasted vegetables and quinoa
* Dinner: Spaghetti Bolognese with garlic bread and a green salad
* Snacks: Fresh fruit cups and cheese and crackers

**Tuesday, March 14**

* Breakfast: Overnight oats with banana and almond milk
* Lunch: Turkey and avocado wrap with carrot sticks and hummus
* Dinner: Grilled salmon with roasted sweet potatoes and steamed broccoli
* Snacks: Trail mix with nuts and dried fruit

**Wednesday, March 15**

* Breakfast: Scrambled eggs with whole grain toast and fresh orange juice
* Lunch: Chicken Caesar salad with whole grain croutons
* Dinner: Beef and vegetable stir-fry with brown rice
* Snacks: Yogurt parfait with granola and mixed berries

**Thursday, March 16**

* Breakfast: Smoothies with yogurt, banana, and spinach
* Lunch: Grilled chicken breast with mixed greens and whole grain wrap
* Dinner: Baked chicken with roasted carrots and quinoa
* Snacks: Apple slices with almond butter

**Friday, March 17**

* Breakfast: Whole grain pancakes with fresh berries and maple syrup
* Lunch: Turkey and cheese sandwich on whole grain bread with carrot sticks
* Dinner: Grilled shrimp with roasted asparagus and brown rice
* Snacks: Rice cakes with peanut butter and banana slices",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria

Week of [Date] - [Date]

Monday:

* Breakfast: Whole grain waffles with fresh fruit and yogurt, scrambled eggs with whole wheat toast
* Lunch: Grilled chicken breast with roasted vegetables and quinoa, vegetarian option: lentil soup with whole grain bread
* Snack: Carrot sticks with hummus

Tuesday:

* Breakfast: Overnight oats with nuts and seeds, whole grain English muffin with avocado spread
* Lunch: Turkey and cheese wraps with mixed greens salad and balsamic vinaigrette, vegetarian option: veggie burger on a whole wheat bun
* Snack: Apple slices with almond butter

Wednesday:

* Breakfast: Scrambled eggs with spinach and feta cheese, whole grain pancakes
* Lunch: Grilled salmon with brown rice and steamed broccoli, vegetarian option: vegetable stir-fry with tofu and brown rice
* Snack: Greek yogurt with berries and granola

Thursday:

* Breakfast: Smoothie bowl with banana, spinach, and almond milk topped with nuts and seeds, whole grain cereal with milk
* Lunch: Chicken Caesar salad wrap, vegetarian option: eggplant parmesan sandwich on a whole wheat bun
* Snack: Hard-boiled eggs and cherry tomatoes

Friday:

* Breakfast: Whole grain French toast with fresh berries and maple syrup, oatmeal with banana and honey
* Lunch: Grilled chicken breast with mixed greens salad and balsamic vinaigrette, vegetarian option: veggie wrap with hummus and sprouts
* Snack: Cottage cheese with sliced cucumber",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria (March 12 - March 18)

Monday, March 13:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit salad ($4.50)
* Lunch: Grilled chicken breast sandwich on whole grain bread with carrot sticks and hummus ($8.25)
* Snack: Fresh fruit cups (seasonal) ($2.75)

Tuesday, March 14:

* Breakfast: Yogurt parfait with granola and mixed berries ($5.00)
* Lunch: Vegetable quiche with a side salad ($9.50)
* Snack: Whole grain crackers with peanut butter ($3.25)

Wednesday, March 15:

* Breakfast: Overnight oats with banana and honey ($4.75)
* Lunch: Grilled turkey wrap with mixed greens and balsamic vinaigrette ($8.75)
* Snack: Cut vegetables with guacamole dip ($3.50)

Thursday, March 16:

* Breakfast: Cereal bar with milk and fresh fruit ($5.25)
* Lunch: Chicken Caesar salad ($9.00)
* Snack: Trail mix with nuts and dried fruits ($3.75)

Friday, March 17:

* Breakfast: Bagel with cream cheese and lox ($6.50)
* Lunch: Beef and vegetable stir-fry with brown rice ($10.25)
* Snack: Apple slices with caramel dip ($3.00)

Saturday and Sunday:

* Breakfast: Breakfast sandwich (English muffin, egg, and cheese) ($5.00)
* Lunch: Grilled chicken breast with roasted vegetables and quinoa ($9.50)
* Snack: Fresh fruit cups (seasonal) ($2.75)

Note: Prices are subject to change based on market fluctuations.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - Week of March 13th to March 19th

Monday, March 13th:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
* Lunch: Grilled chicken breast sandwich on a baguette with carrot sticks and hummus
* Dinner: Baked salmon with roasted vegetables and quinoa

Tuesday, March 14th:

* Breakfast: Greek yogurt parfait with granola and mixed berries
* Lunch: Turkey and avocado wrap with mixed greens salad
* Dinner: Beef stir-fry with brown rice and steamed broccoli

Wednesday, March 15th:

* Breakfast: Whole grain waffles with fresh strawberries and whipped cream
* Lunch: Grilled panini sandwich with soup of the day (tomato soup)
* Dinner: Chicken Caesar salad with whole wheat croutons

Thursday, March 16th:

* Breakfast: Overnight oats with banana and almond milk
* Lunch: Veggie quesadilla with mixed greens salad and guacamole
* Dinner: Grilled pork chop with roasted sweet potatoes and green beans

Friday, March 17th:

* Breakfast: Breakfast burrito with scrambled eggs and whole wheat tortilla
* Lunch: Chicken and quinoa bowl with roasted vegetables
* Dinner: Baked chicken breast with roasted asparagus and brown rice

Saturday and Sunday will follow a similar menu pattern, with slight variations on weekends. Please note that menu items are subject to change based on dietary restrictions and preferences.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - Week of March 12th to March 18th

Monday, March 12th:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
* Lunch: Grilled chicken sandwiches with carrot sticks and hummus
* Dinner: Spaghetti with meat sauce, garlic bread, and a side salad

Tuesday, March 13th:

* Breakfast: Yogurt parfait with granola and banana slices
* Lunch: Turkey wraps with mixed greens and balsamic vinaigrette
* Dinner: Baked salmon with roasted vegetables and quinoa

Wednesday, March 14th:

* Breakfast: Avocado toast with scrambled eggs and cherry tomatoes
* Lunch: Chicken Caesar salad wraps
* Dinner: Beef tacos with Mexican rice, black beans, and tortilla chips

Thursday, March 15th:

* Breakfast: Overnight oats with almond milk and sliced almonds
* Lunch: Grilled paninis with mixed greens and balsamic vinaigrette
* Dinner: Slow-cooked chili with crusty bread and a side salad

Friday, March 16th:

* Breakfast: Smoothie bowls with banana, spinach, and almond milk
* Lunch: Chicken quesadillas with salsa and mixed greens
* Dinner: Grilled steak with roasted potatoes and steamed broccoli

Saturday, March 17th (open for hospital staff only):

* Breakfast: Breakfast burritos with scrambled eggs and sausage
* Lunch: Chicken Caesar wraps
* Dinner: Slow-roasted chicken with roasted carrots and brown rice

Sunday, March 18th:

* Breakfast: Cinnamon rolls with fresh fruit and yogurt
* Lunch: Turkey and cheese sandwiches with carrot sticks and hummus
* Dinner: Beef and vegetable stir-fry with steamed rice",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - March 1st to March 7th

This week's menu features a variety of healthy options to satisfy our staff and visitors' tastes. Please note that our menu items are subject to change based on supplier availability and seasonal produce.

Monday:
- Breakfast: Whole grain toast with scrambled eggs, fresh fruit, and yogurt
- Lunch: Grilled chicken breast sandwich with mixed greens salad and balsamic vinaigrette
- Dinner: Spaghetti with marinara sauce, garlic bread, and a side of steamed broccoli

Tuesday:
- Breakfast: Overnight oats with banana and honey
- Lunch: Turkey and avocado wrap with carrot sticks and hummus
- Dinner: Baked salmon with roasted vegetables and quinoa

Wednesday:
- Breakfast: Greek yogurt parfait with granola and berries
- Lunch: Chicken Caesar salad
- Dinner: Beef stir-fry with brown rice and mixed vegetables

Thursday:
- Breakfast: Scrambled eggs with whole grain English muffin and fresh fruit
- Lunch: Grilled chicken wrap with mixed greens and balsamic vinaigrette
- Dinner: Vegetarian lasagna with garlic bread and a side salad

Friday:
- Breakfast: Smoothie bowl with banana, spinach, and almond milk topped with granola and nuts
- Lunch: Turkey and cheese sandwich with carrot sticks and hummus
- Dinner: Grilled chicken breast with roasted sweet potatoes and green beans

Saturday and Sunday:
- Breakfast: Breakfast burrito with scrambled eggs, sausage, and shredded cheese
- Lunch: Chicken quesadilla with mixed greens salad and balsamic vinaigrette
- Dinner: Grilled steak with roasted asparagus and quinoa

Please note that our menu items are subject to change. If you have any dietary restrictions or preferences, please inform our staff so we can accommodate your needs.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - Weeks of March 5th to March 11th

Monday, March 5th:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
* Lunch: Grilled chicken breast with roasted vegetables and quinoa
* Dinner: Baked salmon with sweet potato and green beans

Tuesday, March 6th:

* Breakfast: Greek yogurt parfait with granola and banana
* Lunch: Turkey and avocado wrap with carrot sticks
* Dinner: Vegetarian lasagna with garlic bread

Wednesday, March 7th:

* Breakfast: Overnight oats with almond milk and berries
* Lunch: Grilled turkey sandwich with mixed greens salad
* Dinner: Slow-cooked beef stew with crusty bread

Thursday, March 8th:

* Breakfast: Whole grain waffles with fresh strawberries and whipped cream
* Lunch: Chicken Caesar salad
* Dinner: Roasted chicken breast with roasted carrots and brown rice

Friday, March 9th:

* Breakfast: Avocado toast with scrambled eggs and cherry tomatoes
* Lunch: Grilled cheeseburger with sweet potato fries
* Dinner: Slow-cooked pork tenderloin with roasted Brussels sprouts

Saturday, March 10th:

* Breakfast: Cinnamon roll French toast with fresh fruit
* Lunch: Chicken quesadilla with mixed greens salad
* Dinner: Baked chicken breast with quinoa and steamed broccoli

Sunday, March 11th:

* Breakfast: Breakfast burrito with scrambled eggs and sausage
* Lunch: Turkey and cheese wrap with carrot sticks
* Dinner: Slow-cooked beef brisket with roasted sweet potatoes",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu - Hospital Cafeteria

Week of [Date]

Monday:

* Breakfast: Scrambled eggs, turkey sausage, whole wheat toast, and fresh fruit ($6.50)
* Lunch: Grilled chicken breast sandwich, carrot sticks with hummus, mixed greens salad ($12.00)
* Snack: Yogurt parfait with granola and berries ($4.25)

Tuesday:

* Breakfast: Overnight oats with banana and almond milk ($5.75)
* Lunch: Vegetarian quinoa bowl with roasted vegetables and pita bread ($11.50)
* Snack: Hard-boiled eggs and cherry tomatoes ($3.75)

Wednesday:

* Breakfast: Avocado toast with scrambled eggs and whole wheat English muffin ($7.25)
* Lunch: Grilled turkey wrap, mixed greens salad, and balsamic vinaigrette ($13.00)
* Snack: Apple slices with peanut butter ($4.00)

Thursday:

* Breakfast: Smoothie bowl with banana, spinach, and almond milk topped with granola and fresh fruit ($6.50)
* Lunch: Grilled chicken Caesar salad ($12.75)
* Snack: Cottage cheese with sliced peaches ($4.50)

Friday:

* Breakfast: Breakfast burrito with scrambled eggs, black beans, and avocado ($7.00)
* Lunch: Grilled panini sandwich with mixed greens and balsamic vinaigrette ($11.25)
* Snack: Carrot sticks with hummus ($3.75)

Saturday and Sunday:

* Breakfast: continental breakfast with pastries, yogurt, and fresh fruit (included with room rate)

Meal prices are subject to change and may vary based on menu item availability.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria (March 12 - March 18)

Monday, March 13:

* Breakfast: Whole Grain Waffles with Fresh Berries and Yogurt
* Lunch: Grilled Chicken Breast Sandwiches, Carrot Sticks with Hummus, and Mixed Greens Salad
* Dinner: Spaghetti with Meat Sauce, Garlic Bread, and Steamed Broccoli

Tuesday, March 14:

* Breakfast: Overnight Oats with Banana and Almond Milk
* Lunch: Tuna Salad Wraps, Sliced Cucumber, and Cherry Tomatoes
* Dinner: Baked Salmon with Roasted Vegetables and Quinoa

Wednesday, March 15:

* Breakfast: Scrambled Eggs with Spinach and Whole Wheat Toast
* Lunch: Veggie Burgers, Sweet Potato Fries, and Mixed Greens Salad
* Dinner: Chicken Fajitas with Sauteed Onions and Bell Peppers, served with Warm Flour Tortillas

Thursday, March 16:

* Breakfast: Greek Yogurt Parfait with Granola and Fresh Fruit
* Lunch: Grilled Turkey and Avocado Wraps, Carrot Sticks with Hummus, and Mixed Greens Salad
* Dinner: Beef and Vegetable Stir-Fry with Brown Rice

Friday, March 17:

* Breakfast: Cinnamon Rolls with Fresh Fruit and Yogurt
* Lunch: Chicken Caesar Wraps, Sliced Cucumber, and Cherry Tomatoes
* Dinner: Grilled Shrimp with Roasted Asparagus and Quinoa

Saturday and Sunday: Please note that our cafeteria will be offering a special meal on these days. Menu items are subject to change without notice.

Please check the cafeteria board for daily specials and updates throughout the week. We hope you enjoy your meals!",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - Week of March 11th to March 17th

Monday, March 12th:
- Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
- Lunch: Grilled chicken breast sandwiches with carrot sticks and hummus
- Dinner: Spaghetti Bolognese with garlic bread and mixed greens salad

Tuesday, March 13th:
- Breakfast: Yogurt parfait with granola and banana slices
- Lunch: Turkey and avocado wraps with cherry tomatoes and balsamic vinaigrette
- Dinner: Grilled salmon with roasted vegetables and quinoa

Wednesday, March 14th:
- Breakfast: Whole grain waffles with strawberries and whipped cream
- Lunch: Chicken Caesar salad wraps with croutons and parmesan cheese
- Dinner: Beef and vegetable stir-fry with brown rice

Thursday, March 15th:
- Breakfast: Overnight oats with banana and almond milk
- Lunch: Grilled panini sandwiches with mixed greens and balsamic vinaigrette
- Dinner: Chicken fajitas with sautéed onions and bell peppers, served with warm flour tortillas

Friday, March 16th:
- Breakfast: Whole grain English muffins with scrambled eggs and smoked salmon
- Lunch: Chicken quesadillas with mixed greens and salsa
- Dinner: Grilled chicken breast with roasted sweet potatoes and green beans

Saturday, March 17th (Staff Meal Day):
- Breakfast: Breakfast burritos with scrambled eggs, sausage, and shredded cheese
- Lunch: Grilled chicken sandwiches with carrot sticks and hummus

Please note that menu items are subject to change based on dietary restrictions and availability of ingredients.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
